"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"24661123","1123",125.00,155.00,280.00,20.00,50.00,70.00,320.00,230.00
"24661124","1124",130.00,195.00,855.00,20.00,315.00,385.00,780.00,370.00
"24661125","1125",90.00,170.00,610.00,15.00,145.00,335.00,615.00,185.00
"24661126","1126",60.00,200.00,390.00,5.00,95.00,225.00,465.00,150.00
"24661127","1127",80.00,175.00,440.00,5.00,100.00,255.00,590.00,160.00
"24661128","1128",40.00,160.00,400.00,5.00,70.00,275.00,460.00,130.00
"24661129","1129",90.00,160.00,460.00,5.00,110.00,280.00,485.00,145.00
"24661130","1130",75.00,125.00,325.00,5.00,90.00,125.00,400.00,95.00
"24661131","1131",80.00,120.00,290.00,0.00,100.00,145.00,375.00,75.00
"24661132","1132",70.00,100.00,310.00,5.00,75.00,200.00,400.00,100.00
"24661133","1133",65.00,65.00,245.00,5.00,110.00,120.00,310.00,85.00
"24661134","1134",65.00,115.00,300.00,10.00,75.00,185.00,405.00,120.00
"24661135","1135",85.00,205.00,445.00,45.00,85.00,255.00,475.00,220.00
"24661136","1136",60.00,105.00,380.00,30.00,100.00,185.00,400.00,210.00
"24661137","1137",70.00,125.00,435.00,20.00,75.00,275.00,390.00,200.00
"24661138","1138",40.00,90.00,310.00,10.00,70.00,175.00,285.00,165.00
"24661139","1139",45.00,130.00,320.00,5.00,125.00,185.00,420.00,130.00
"24661140","1140",60.00,135.00,355.00,5.00,110.00,195.00,425.00,140.00
"24661141","1141",40.00,105.00,360.00,5.00,90.00,195.00,335.00,80.00
"24661142","1142",45.00,60.00,250.00,0.00,115.00,170.00,285.00,90.00
"24661143","1143",40.00,115.00,340.00,0.00,100.00,230.00,390.00,130.00
"24661144","1144",55.00,245.00,440.00,5.00,120.00,295.00,570.00,165.00
"24661145","1145",25.00,95.00,185.00,0.00,50.00,130.00,230.00,85.00
"24661146","1146",55.00,210.00,390.00,10.00,105.00,215.00,450.00,140.00
"24661147","1147",65.00,160.00,415.00,5.00,100.00,235.00,410.00,125.00
"24661148","1148",75.00,120.00,280.00,10.00,90.00,185.00,270.00,115.00
"24661149","1149",85.00,150.00,330.00,30.00,105.00,200.00,420.00,125.00
"24661150","1150",65.00,115.00,355.00,10.00,110.00,205.00,275.00,165.00
"24661151","1151",35.00,70.00,240.00,5.00,50.00,180.00,260.00,140.00
"24661152","1152",65.00,140.00,320.00,15.00,55.00,240.00,385.00,170.00
"24661153","1153",60.00,115.00,335.00,10.00,110.00,150.00,280.00,155.00
"24661154","1154",35.00,105.00,270.00,15.00,45.00,195.00,330.00,95.00
"24661155","1155",50.00,115.00,300.00,5.00,95.00,205.00,355.00,90.00
"24661156","1156",70.00,100.00,315.00,15.00,120.00,135.00,375.00,95.00
"24661157","1157",60.00,95.00,265.00,5.00,115.00,165.00,340.00,125.00
"24661158","1158",50.00,115.00,265.00,0.00,65.00,135.00,310.00,65.00
"24661159","1159",30.00,130.00,225.00,0.00,65.00,180.00,385.00,45.00
"24661160","1160",55.00,95.00,285.00,5.00,55.00,180.00,330.00,75.00
"24661161","1161",40.00,95.00,225.00,0.00,60.00,115.00,315.00,40.00
"24661162","1162",95.00,130.00,425.00,0.00,100.00,250.00,485.00,100.00
"24661163","1163",75.00,195.00,425.00,0.00,105.00,325.00,670.00,75.00
"24661164","1164",55.00,140.00,290.00,5.00,15.00,150.00,415.00,55.00
"24661165","1165",30.00,140.00,380.00,0.00,60.00,215.00,445.00,50.00
"24661166","1166",60.00,200.00,370.00,0.00,55.00,280.00,615.00,55.00
"24661167","1167",50.00,100.00,285.00,0.00,50.00,160.00,465.00,50.00
"24661168","1168",50.00,70.00,260.00,5.00,60.00,135.00,310.00,45.00
"24661169","1169",65.00,220.00,470.00,5.00,110.00,265.00,610.00,65.00
"24661170","1170",50.00,150.00,345.00,0.00,65.00,235.00,545.00,25.00
"24661171","1171",80.00,120.00,370.00,10.00,90.00,225.00,450.00,120.00
"24661172","1172",55.00,155.00,440.00,0.00,90.00,275.00,540.00,90.00
"24661173","1173",40.00,100.00,260.00,5.00,70.00,165.00,315.00,40.00
"24661174","1174",45.00,160.00,345.00,0.00,90.00,230.00,510.00,70.00
"24661175","1175",30.00,130.00,280.00,5.00,45.00,245.00,445.00,35.00
"24661176","1176",80.00,135.00,255.00,5.00,80.00,205.00,415.00,75.00
"24661177","1177",60.00,115.00,280.00,10.00,85.00,180.00,360.00,85.00
"24661178","1178",20.00,125.00,210.00,5.00,50.00,155.00,325.00,35.00
"24661179","1179",80.00,275.00,625.00,10.00,125.00,395.00,700.00,275.00
"24661180","1180",115.00,275.00,370.00,20.00,120.00,180.00,455.00,280.00
"24661181","1181",85.00,175.00,335.00,20.00,110.00,245.00,355.00,190.00
"24661182","1182",30.00,140.00,280.00,5.00,65.00,150.00,385.00,55.00
"24661183","1183",85.00,200.00,450.00,15.00,80.00,255.00,560.00,150.00
"24661184","1184",50.00,195.00,350.00,5.00,65.00,250.00,450.00,115.00
"24661185","1185",35.00,140.00,305.00,10.00,85.00,190.00,330.00,155.00
"24661187","1187",30.00,160.00,385.00,0.00,100.00,270.00,500.00,95.00
"24661189","1189",90.00,180.00,460.00,10.00,90.00,270.00,605.00,110.00
"24661190","1190",35.00,190.00,395.00,5.00,75.00,285.00,510.00,95.00
"24661191","1191",60.00,120.00,345.00,0.00,70.00,245.00,505.00,55.00
"24661192","1192",75.00,160.00,385.00,5.00,150.00,215.00,610.00,70.00
"24661193","1193",55.00,85.00,185.00,5.00,50.00,90.00,230.00,65.00
"24661194","1194",60.00,165.00,430.00,0.00,95.00,215.00,555.00,55.00
"24661195","1195",65.00,135.00,355.00,0.00,40.00,225.00,455.00,25.00
"24661196","1196",70.00,185.00,420.00,5.00,105.00,235.00,620.00,70.00
"24661197","1197",75.00,140.00,350.00,0.00,55.00,155.00,445.00,60.00
"24661198","1198",70.00,90.00,355.00,0.00,85.00,220.00,580.00,45.00
