"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"2466","0000",220425.00,517445.00,1131680.00,45205.00,292300.00,609070.00,1187260.00,644685.00
"24660001","0001",0.00,325.00,260.00,5.00,0.00,345.00,570.00,35.00
"24660002","0002",0.00,275.00,240.00,5.00,15.00,250.00,395.00,70.00
"24660003","0003",0.00,165.00,135.00,0.00,10.00,155.00,320.00,0.00
"24660004","0004",0.00,150.00,125.00,5.00,0.00,200.00,280.00,0.00
"24660005","0005",0.00,125.00,110.00,0.00,0.00,135.00,225.00,0.00
"24660006","0006",5.00,225.00,175.00,0.00,10.00,195.00,340.00,15.00
"24660007","0007",0.00,400.00,275.00,0.00,10.00,355.00,655.00,85.00
"24660008","0008",0.00,295.00,225.00,0.00,15.00,255.00,450.00,40.00
"24660009","0009",0.00,120.00,120.00,0.00,0.00,160.00,265.00,25.00
"24660010","0010",5.00,340.00,265.00,5.00,0.00,220.00,455.00,30.00
"24660011","0011",5.00,365.00,270.00,5.00,20.00,315.00,555.00,85.00
"24660012","0012",10.00,435.00,375.00,5.00,15.00,485.00,745.00,90.00
"24660013","0013",0.00,275.00,195.00,5.00,10.00,225.00,455.00,80.00
"24660014","0014",5.00,280.00,240.00,5.00,10.00,290.00,460.00,130.00
"24660015","0015",5.00,295.00,140.00,0.00,0.00,215.00,415.00,10.00
"24660016","0016",5.00,350.00,340.00,0.00,20.00,425.00,645.00,50.00
"24660017","0017",5.00,320.00,180.00,0.00,15.00,285.00,560.00,25.00
"24660020","0020",0.00,245.00,190.00,0.00,10.00,180.00,380.00,25.00
"24660021","0021",0.00,390.00,170.00,5.00,10.00,170.00,450.00,90.00
"24660022","0022",0.00,205.00,130.00,0.00,0.00,125.00,310.00,10.00
"24660023","0023",5.00,330.00,195.00,0.00,0.00,255.00,375.00,135.00
"24660024","0024",5.00,325.00,245.00,5.00,10.00,280.00,450.00,115.00
"24660025","0025",0.00,325.00,160.00,0.00,10.00,300.00,465.00,80.00
"24660026","0026",0.00,490.00,135.00,0.00,10.00,100.00,240.00,15.00
"24660027","0027",10.00,340.00,220.00,0.00,20.00,255.00,540.00,75.00
"24660028","0028",0.00,190.00,145.00,0.00,0.00,135.00,240.00,80.00
"24660029","0029",0.00,225.00,155.00,5.00,0.00,220.00,285.00,70.00
"24660030","0030",5.00,630.00,425.00,10.00,35.00,520.00,980.00,170.00
"24660031","0031",0.00,275.00,225.00,5.00,15.00,220.00,375.00,110.00
"24660032","0032",5.00,280.00,180.00,5.00,15.00,290.00,415.00,60.00
"24660033","0033",10.00,505.00,385.00,5.00,30.00,500.00,840.00,135.00
"24660034","0034",0.00,175.00,175.00,0.00,15.00,170.00,300.00,20.00
"24660035","0035",0.00,195.00,260.00,0.00,10.00,275.00,465.00,45.00
"24660036","0036",0.00,460.00,320.00,5.00,10.00,430.00,715.00,80.00
"24660037","0037",0.00,400.00,240.00,0.00,15.00,335.00,560.00,115.00
"24660038","0038",5.00,390.00,175.00,0.00,15.00,260.00,490.00,65.00
"24660039","0039",5.00,345.00,140.00,5.00,0.00,210.00,390.00,65.00
"24660040","0040",5.00,255.00,195.00,5.00,15.00,200.00,425.00,45.00
"24660041","0041",5.00,335.00,220.00,0.00,10.00,250.00,455.00,45.00
"24660042","0042",5.00,375.00,200.00,5.00,0.00,255.00,450.00,105.00
"24660043","0043",5.00,270.00,155.00,0.00,20.00,165.00,335.00,105.00
"24660044","0044",0.00,105.00,85.00,0.00,0.00,115.00,180.00,0.00
"24660045","0045",0.00,240.00,210.00,0.00,0.00,190.00,360.00,25.00
"24660046","0046",5.00,265.00,170.00,0.00,10.00,220.00,340.00,50.00
"24660047","0047",0.00,220.00,145.00,5.00,0.00,135.00,325.00,30.00
"24660048","0048",0.00,310.00,190.00,5.00,10.00,265.00,480.00,30.00
"24660049","0049",0.00,345.00,140.00,0.00,20.00,250.00,455.00,65.00
"24660050","0050",0.00,350.00,180.00,5.00,15.00,210.00,530.00,70.00
"24660051","0051",0.00,250.00,125.00,5.00,20.00,195.00,305.00,20.00
"24660052","0052",0.00,360.00,195.00,0.00,10.00,345.00,550.00,35.00
"24660053","0053",5.00,220.00,175.00,0.00,15.00,190.00,340.00,50.00
"24660054","0054",5.00,295.00,175.00,0.00,10.00,305.00,480.00,30.00
"24660055","0055",5.00,380.00,205.00,0.00,25.00,275.00,530.00,45.00
"24660056","0056",0.00,315.00,180.00,0.00,10.00,270.00,450.00,25.00
"24660057","0057",20.00,540.00,305.00,5.00,35.00,450.00,800.00,140.00
"24660058","0058",5.00,190.00,140.00,0.00,15.00,105.00,290.00,10.00
"24660059","0059",10.00,260.00,140.00,5.00,0.00,160.00,390.00,50.00
"24660060","0060",0.00,220.00,150.00,0.00,0.00,205.00,340.00,40.00
"24660061","0061",5.00,320.00,230.00,0.00,15.00,300.00,445.00,110.00
"24660062","0062",5.00,260.00,160.00,5.00,10.00,195.00,345.00,40.00
"24660063","0063",5.00,365.00,225.00,5.00,10.00,270.00,540.00,65.00
"24660064","0064",10.00,305.00,280.00,10.00,10.00,265.00,485.00,90.00
"24660065","0065",15.00,280.00,255.00,10.00,30.00,270.00,445.00,160.00
"24660066","0066",5.00,275.00,220.00,0.00,10.00,245.00,335.00,135.00
"24660067","0067",5.00,285.00,255.00,5.00,0.00,290.00,445.00,100.00
"24660068","0068",15.00,215.00,220.00,10.00,55.00,210.00,310.00,155.00
"24660069","0069",10.00,340.00,230.00,5.00,10.00,220.00,430.00,85.00
"24660070","0070",10.00,270.00,195.00,10.00,25.00,270.00,385.00,125.00
"24660071","0071",0.00,285.00,230.00,10.00,10.00,200.00,370.00,115.00
"24660072","0072",10.00,255.00,275.00,15.00,20.00,260.00,380.00,155.00
"24660073","0073",0.00,270.00,210.00,0.00,20.00,180.00,380.00,105.00
"24660074","0074",5.00,200.00,235.00,5.00,10.00,280.00,370.00,70.00
"24660075","0075",5.00,235.00,190.00,5.00,20.00,295.00,460.00,70.00
"24660076","0076",10.00,240.00,250.00,5.00,10.00,225.00,385.00,115.00
"24660077","0077",5.00,215.00,230.00,0.00,0.00,190.00,325.00,60.00
"24660078","0078",10.00,225.00,255.00,5.00,10.00,200.00,345.00,90.00
"24660079","0079",5.00,240.00,235.00,5.00,15.00,180.00,355.00,65.00
"24660080","0080",10.00,310.00,290.00,0.00,40.00,325.00,580.00,85.00
"24660081","0081",5.00,300.00,285.00,5.00,15.00,265.00,505.00,25.00
"24660082","0082",10.00,325.00,285.00,5.00,10.00,280.00,530.00,55.00
"24660083","0083",5.00,250.00,190.00,10.00,10.00,260.00,410.00,50.00
"24660084","0084",0.00,245.00,190.00,5.00,15.00,215.00,355.00,45.00
"24660085","0085",5.00,325.00,255.00,5.00,30.00,325.00,550.00,90.00
"24660086","0086",5.00,245.00,165.00,10.00,10.00,210.00,390.00,40.00
"24660087","0087",5.00,485.00,270.00,10.00,25.00,295.00,640.00,135.00
"24660088","0088",5.00,285.00,155.00,5.00,35.00,200.00,275.00,100.00
"24660089","0089",5.00,190.00,185.00,0.00,20.00,155.00,290.00,35.00
"24660090","0090",10.00,580.00,435.00,15.00,40.00,435.00,715.00,300.00
"24660091","0091",10.00,320.00,235.00,10.00,15.00,260.00,485.00,125.00
"24660092","0092",5.00,195.00,125.00,5.00,0.00,105.00,235.00,60.00
"24660093","0093",0.00,285.00,330.00,0.00,15.00,345.00,555.00,115.00
"24660094","0094",5.00,305.00,250.00,0.00,15.00,310.00,525.00,60.00
"24660095","0095",10.00,295.00,210.00,0.00,0.00,290.00,505.00,55.00
"24660096","0096",5.00,235.00,270.00,0.00,0.00,290.00,470.00,70.00
"24660097","0097",5.00,235.00,275.00,5.00,15.00,230.00,465.00,50.00
"24660098","0098",0.00,220.00,270.00,5.00,10.00,210.00,380.00,40.00
"24660099","0099",0.00,485.00,290.00,10.00,15.00,340.00,590.00,230.00
"24660100","0100",5.00,260.00,180.00,5.00,20.00,205.00,345.00,80.00
"24660101","0101",10.00,210.00,270.00,10.00,30.00,295.00,450.00,95.00
"24660102","0102",10.00,205.00,290.00,0.00,35.00,270.00,405.00,115.00
"24660103","0103",5.00,185.00,185.00,0.00,0.00,200.00,325.00,75.00
"24660104","0104",5.00,305.00,230.00,5.00,25.00,250.00,395.00,135.00
"24660107","0107",15.00,255.00,205.00,5.00,20.00,170.00,345.00,90.00
"24660108","0108",15.00,385.00,325.00,10.00,20.00,270.00,560.00,110.00
"24660109","0109",15.00,330.00,205.00,5.00,20.00,220.00,445.00,105.00
"24660110","0110",25.00,385.00,255.00,20.00,30.00,340.00,430.00,360.00
"24660111","0111",15.00,190.00,160.00,10.00,30.00,160.00,170.00,210.00
"24660112","0112",10.00,225.00,215.00,5.00,40.00,145.00,295.00,170.00
"24660114","0114",20.00,290.00,305.00,10.00,30.00,275.00,385.00,190.00
"24660115","0115",15.00,165.00,225.00,15.00,25.00,185.00,290.00,170.00
"24660117","0117",30.00,240.00,240.00,15.00,40.00,160.00,345.00,135.00
"24660118","0118",15.00,255.00,295.00,10.00,65.00,255.00,405.00,195.00
"24660119","0119",5.00,80.00,185.00,5.00,25.00,135.00,225.00,35.00
"24660120","0120",15.00,170.00,340.00,10.00,35.00,275.00,335.00,130.00
"24660121","0121",40.00,200.00,245.00,0.00,20.00,265.00,395.00,135.00
"24660122","0122",15.00,150.00,265.00,5.00,55.00,185.00,285.00,90.00
"24660123","0123",5.00,200.00,245.00,5.00,10.00,190.00,295.00,110.00
"24660124","0124",15.00,260.00,290.00,10.00,30.00,255.00,435.00,160.00
"24660125","0125",15.00,335.00,280.00,10.00,15.00,235.00,450.00,240.00
"24660126","0126",30.00,175.00,285.00,20.00,60.00,160.00,195.00,255.00
"24660127","0127",5.00,245.00,205.00,0.00,30.00,100.00,325.00,110.00
"24660128","0128",10.00,265.00,225.00,15.00,15.00,155.00,250.00,180.00
"24660129","0129",15.00,220.00,250.00,10.00,35.00,205.00,390.00,145.00
"24660130","0130",30.00,260.00,285.00,20.00,25.00,270.00,410.00,245.00
"24660131","0131",25.00,280.00,245.00,20.00,35.00,210.00,280.00,270.00
"24660132","0132",25.00,245.00,240.00,20.00,35.00,210.00,325.00,215.00
"24660133","0133",25.00,240.00,340.00,30.00,60.00,150.00,255.00,280.00
"24660134","0134",20.00,215.00,285.00,15.00,30.00,250.00,300.00,225.00
"24660135","0135",25.00,160.00,280.00,25.00,55.00,205.00,280.00,235.00
"24660136","0136",10.00,130.00,165.00,10.00,30.00,90.00,210.00,135.00
"24660137","0137",20.00,205.00,260.00,5.00,20.00,200.00,270.00,225.00
"24660138","0138",55.00,800.00,950.00,25.00,80.00,455.00,1345.00,470.00
"24660139","0139",10.00,185.00,175.00,5.00,20.00,170.00,240.00,160.00
"24660140","0140",15.00,290.00,405.00,5.00,40.00,265.00,405.00,270.00
"24660141","0141",15.00,180.00,265.00,5.00,25.00,260.00,415.00,115.00
"24660142","0142",10.00,200.00,250.00,0.00,0.00,205.00,400.00,115.00
"24660143","0143",15.00,160.00,205.00,15.00,50.00,135.00,265.00,150.00
"24660144","0144",15.00,870.00,465.00,20.00,15.00,490.00,715.00,505.00
"24660145","0145",10.00,180.00,265.00,10.00,20.00,180.00,320.00,150.00
"24660146","0146",15.00,225.00,315.00,10.00,35.00,280.00,460.00,180.00
"24660147","0147",15.00,345.00,315.00,10.00,15.00,265.00,325.00,365.00
"24660148","0148",10.00,255.00,300.00,5.00,0.00,245.00,470.00,85.00
"24660149","0149",10.00,385.00,575.00,10.00,45.00,465.00,870.00,100.00
"24660150","0150",35.00,270.00,275.00,5.00,35.00,280.00,405.00,180.00
"24660151","0151",10.00,180.00,225.00,0.00,40.00,180.00,320.00,100.00
"24660152","0152",25.00,125.00,210.00,10.00,35.00,180.00,240.00,120.00
"24660153","0153",5.00,255.00,190.00,15.00,0.00,130.00,250.00,140.00
"24660154","0154",5.00,225.00,240.00,5.00,30.00,260.00,435.00,115.00
"24660155","0155",5.00,305.00,240.00,5.00,0.00,270.00,430.00,95.00
"24660156","0156",5.00,525.00,180.00,10.00,10.00,160.00,520.00,165.00
"24660157","0157",5.00,305.00,210.00,0.00,10.00,230.00,380.00,185.00
"24660158","0158",10.00,305.00,250.00,5.00,25.00,270.00,490.00,100.00
"24660159","0159",10.00,370.00,255.00,0.00,25.00,265.00,535.00,100.00
"24660160","0160",10.00,150.00,250.00,5.00,35.00,205.00,340.00,80.00
"24660161","0161",0.00,160.00,180.00,0.00,0.00,170.00,250.00,100.00
"24660162","0162",5.00,260.00,220.00,10.00,10.00,205.00,370.00,115.00
"24660163","0163",5.00,570.00,400.00,20.00,30.00,425.00,685.00,355.00
"24660164","0164",10.00,390.00,230.00,15.00,10.00,225.00,385.00,235.00
"24660165","0165",0.00,490.00,460.00,5.00,20.00,405.00,650.00,270.00
"24660166","0166",15.00,240.00,370.00,0.00,30.00,255.00,445.00,195.00
"24660167","0167",20.00,445.00,305.00,20.00,20.00,330.00,385.00,410.00
"24660168","0168",5.00,185.00,250.00,5.00,30.00,115.00,230.00,65.00
"24660169","0169",10.00,205.00,295.00,10.00,65.00,180.00,330.00,205.00
"24660170","0170",5.00,235.00,235.00,5.00,25.00,285.00,385.00,170.00
"24660171","0171",10.00,300.00,315.00,5.00,10.00,305.00,385.00,235.00
"24660172","0172",10.00,230.00,165.00,5.00,0.00,230.00,225.00,170.00
"24660173","0173",5.00,185.00,205.00,5.00,0.00,185.00,225.00,145.00
"24660174","0174",10.00,310.00,300.00,5.00,40.00,275.00,410.00,200.00
"24660175","0175",5.00,295.00,265.00,5.00,15.00,295.00,405.00,165.00
"24660176","0176",10.00,310.00,435.00,5.00,20.00,385.00,660.00,150.00
"24660177","0177",5.00,135.00,225.00,5.00,10.00,175.00,315.00,50.00
"24660178","0178",20.00,130.00,295.00,0.00,65.00,180.00,380.00,105.00
"24660179","0179",10.00,200.00,255.00,0.00,50.00,175.00,320.00,100.00
"24660180","0180",15.00,240.00,330.00,10.00,60.00,220.00,385.00,260.00
"24660181","0181",25.00,505.00,370.00,25.00,15.00,255.00,545.00,310.00
"24660182","0182",15.00,390.00,255.00,20.00,25.00,270.00,320.00,400.00
"24660183","0183",10.00,250.00,250.00,10.00,15.00,260.00,295.00,235.00
"24660184","0184",10.00,230.00,190.00,5.00,25.00,145.00,205.00,170.00
"24660185","0185",10.00,140.00,145.00,10.00,10.00,85.00,175.00,90.00
"24660186","0186",5.00,380.00,390.00,10.00,35.00,405.00,550.00,300.00
"24660187","0187",10.00,300.00,235.00,10.00,15.00,200.00,315.00,205.00
"24660188","0188",5.00,330.00,225.00,10.00,25.00,230.00,360.00,190.00
"24660189","0189",5.00,345.00,165.00,10.00,15.00,210.00,345.00,210.00
"24660190","0190",5.00,465.00,260.00,15.00,10.00,275.00,380.00,270.00
"24660191","0191",0.00,310.00,185.00,15.00,20.00,250.00,295.00,220.00
"24660192","0192",0.00,385.00,220.00,10.00,15.00,180.00,335.00,190.00
"24660193","0193",5.00,245.00,170.00,10.00,15.00,170.00,270.00,160.00
"24660194","0194",5.00,210.00,110.00,10.00,10.00,95.00,135.00,170.00
"24660195","0195",10.00,275.00,305.00,5.00,30.00,250.00,415.00,175.00
"24660196","0196",5.00,255.00,155.00,5.00,0.00,240.00,230.00,235.00
"24660197","0197",10.00,325.00,260.00,10.00,10.00,275.00,345.00,210.00
"24660198","0198",10.00,240.00,305.00,0.00,25.00,220.00,455.00,135.00
"24660199","0199",5.00,200.00,225.00,5.00,15.00,185.00,270.00,95.00
"24660200","0200",10.00,225.00,170.00,10.00,20.00,165.00,245.00,235.00
"24660201","0201",10.00,285.00,245.00,15.00,10.00,215.00,360.00,170.00
"24660202","0202",10.00,280.00,195.00,10.00,15.00,195.00,255.00,235.00
"24660203","0203",40.00,620.00,630.00,20.00,55.00,370.00,855.00,420.00
"24660204","0204",10.00,240.00,200.00,10.00,10.00,170.00,325.00,160.00
"24660205","0205",20.00,1005.00,725.00,5.00,45.00,305.00,1090.00,160.00
"24660206","0206",5.00,245.00,185.00,10.00,10.00,110.00,315.00,125.00
"24660207","0207",25.00,100.00,250.00,10.00,60.00,120.00,210.00,160.00
"24660208","0208",5.00,115.00,205.00,0.00,45.00,150.00,270.00,150.00
"24660209","0209",15.00,145.00,215.00,10.00,20.00,85.00,160.00,175.00
"24660210","0210",20.00,305.00,310.00,20.00,20.00,195.00,285.00,395.00
"24660211","0211",20.00,285.00,430.00,25.00,60.00,285.00,440.00,335.00
"24660212","0212",15.00,295.00,230.00,20.00,35.00,145.00,310.00,300.00
"24660213","0213",30.00,330.00,220.00,30.00,40.00,195.00,230.00,355.00
"24660214","0214",25.00,270.00,195.00,25.00,15.00,145.00,265.00,275.00
"24660215","0215",15.00,215.00,285.00,30.00,45.00,155.00,280.00,285.00
"24660216","0216",5.00,200.00,185.00,25.00,20.00,100.00,220.00,195.00
"24660217","0217",10.00,355.00,200.00,15.00,30.00,170.00,190.00,370.00
"24660218","0218",30.00,215.00,325.00,20.00,60.00,165.00,280.00,275.00
"24660219","0219",20.00,155.00,155.00,5.00,30.00,110.00,140.00,235.00
"24660220","0220",35.00,490.00,360.00,60.00,50.00,350.00,270.00,650.00
"24660221","0221",15.00,130.00,180.00,15.00,0.00,75.00,160.00,130.00
"24660222","0222",25.00,190.00,280.00,20.00,50.00,150.00,275.00,250.00
"24660223","0223",20.00,230.00,295.00,25.00,35.00,170.00,245.00,330.00
"24660224","0224",45.00,165.00,195.00,20.00,65.00,165.00,180.00,235.00
"24660225","0225",25.00,285.00,255.00,25.00,10.00,175.00,200.00,380.00
"24660226","0226",45.00,185.00,335.00,15.00,60.00,190.00,370.00,210.00
"24660227","0227",40.00,265.00,365.00,30.00,45.00,165.00,355.00,345.00
"24660228","0228",25.00,160.00,255.00,30.00,35.00,135.00,240.00,200.00
"24660229","0229",45.00,205.00,320.00,30.00,65.00,160.00,320.00,240.00
"24660230","0230",30.00,150.00,300.00,20.00,65.00,140.00,285.00,210.00
"24660231","0231",30.00,365.00,320.00,20.00,45.00,210.00,350.00,365.00
"24660232","0232",35.00,510.00,370.00,45.00,50.00,370.00,300.00,670.00
"24660233","0233",75.00,675.00,685.00,40.00,115.00,545.00,785.00,660.00
"24660234","0234",35.00,210.00,300.00,20.00,45.00,200.00,350.00,215.00
"24660235","0235",35.00,365.00,410.00,15.00,30.00,365.00,575.00,245.00
"24660236","0236",20.00,355.00,335.00,25.00,45.00,265.00,400.00,275.00
"24660238","0238",5.00,270.00,205.00,5.00,25.00,180.00,215.00,225.00
"24660239","0239",20.00,435.00,365.00,20.00,40.00,430.00,525.00,315.00
"24660241","0241",40.00,350.00,390.00,20.00,75.00,280.00,355.00,455.00
"24660242","0242",30.00,350.00,445.00,30.00,45.00,305.00,470.00,335.00
"24660243","0243",40.00,380.00,420.00,15.00,35.00,400.00,565.00,335.00
"24660244","0244",55.00,310.00,375.00,35.00,35.00,270.00,415.00,310.00
"24660245","0245",20.00,240.00,240.00,15.00,35.00,230.00,345.00,210.00
"24660246","0246",30.00,440.00,360.00,50.00,55.00,395.00,470.00,500.00
"24660247","0247",15.00,375.00,215.00,25.00,25.00,170.00,175.00,360.00
"24660248","0248",30.00,315.00,275.00,35.00,10.00,215.00,325.00,300.00
"24660249","0249",30.00,280.00,305.00,25.00,65.00,205.00,340.00,285.00
"24660250","0250",25.00,270.00,235.00,30.00,65.00,235.00,340.00,320.00
"24660251","0251",20.00,245.00,260.00,25.00,35.00,245.00,195.00,290.00
"24660252","0252",10.00,300.00,255.00,40.00,30.00,265.00,355.00,260.00
"24660253","0253",25.00,225.00,215.00,25.00,20.00,160.00,245.00,225.00
"24660254","0254",30.00,315.00,445.00,30.00,50.00,340.00,450.00,310.00
"24660255","0255",30.00,270.00,275.00,45.00,35.00,160.00,305.00,245.00
"24660256","0256",30.00,330.00,280.00,25.00,30.00,285.00,320.00,320.00
"24660257","0257",40.00,235.00,260.00,20.00,25.00,150.00,240.00,255.00
"24660258","0258",30.00,260.00,295.00,40.00,40.00,200.00,305.00,275.00
"24660259","0259",30.00,210.00,250.00,15.00,20.00,145.00,235.00,265.00
"24660260","0260",50.00,335.00,300.00,35.00,90.00,220.00,330.00,395.00
"24660261","0261",15.00,165.00,230.00,20.00,35.00,135.00,240.00,185.00
"24660262","0262",25.00,295.00,265.00,20.00,25.00,210.00,185.00,365.00
"24660263","0263",30.00,265.00,380.00,20.00,75.00,225.00,430.00,300.00
"24660264","0264",45.00,485.00,490.00,40.00,60.00,240.00,585.00,405.00
"24660265","0265",25.00,155.00,235.00,25.00,100.00,100.00,255.00,180.00
"24660266","0266",30.00,235.00,345.00,30.00,45.00,225.00,305.00,365.00
"24660267","0267",40.00,190.00,295.00,25.00,50.00,130.00,210.00,260.00
"24660268","0268",20.00,130.00,250.00,20.00,70.00,175.00,270.00,230.00
"24660269","0269",20.00,260.00,225.00,15.00,25.00,145.00,225.00,210.00
"24660270","0270",25.00,180.00,240.00,50.00,25.00,130.00,210.00,255.00
"24660271","0271",25.00,185.00,295.00,20.00,50.00,170.00,235.00,245.00
"24660272","0272",15.00,180.00,215.00,20.00,25.00,100.00,165.00,175.00
"24660273","0273",20.00,220.00,255.00,20.00,10.00,190.00,215.00,285.00
"24660274","0274",25.00,240.00,350.00,35.00,60.00,240.00,315.00,330.00
"24660275","0275",60.00,770.00,545.00,35.00,85.00,235.00,465.00,380.00
"24660276","0276",5.00,185.00,270.00,30.00,50.00,160.00,275.00,255.00
"24660277","0277",10.00,205.00,290.00,30.00,35.00,145.00,300.00,365.00
"24660278","0278",15.00,105.00,370.00,10.00,40.00,165.00,330.00,160.00
"24660279","0279",20.00,90.00,270.00,10.00,70.00,95.00,245.00,225.00
"24660280","0280",35.00,70.00,355.00,15.00,80.00,150.00,265.00,190.00
"24660281","0281",25.00,180.00,350.00,20.00,80.00,165.00,350.00,255.00
"24660282","0282",15.00,270.00,245.00,15.00,40.00,150.00,275.00,275.00
"24660283","0283",10.00,175.00,190.00,20.00,35.00,115.00,145.00,245.00
"24660284","0284",20.00,310.00,355.00,30.00,50.00,200.00,330.00,355.00
"24660285","0285",25.00,325.00,315.00,30.00,30.00,275.00,325.00,350.00
"24660286","0286",15.00,295.00,325.00,25.00,30.00,175.00,280.00,275.00
"24660287","0287",35.00,135.00,260.00,15.00,40.00,130.00,270.00,205.00
"24660288","0288",45.00,200.00,385.00,25.00,125.00,185.00,405.00,315.00
"24660289","0289",50.00,435.00,490.00,45.00,70.00,240.00,460.00,500.00
"24660290","0290",20.00,320.00,340.00,25.00,50.00,330.00,400.00,310.00
"24660291","0291",5.00,210.00,175.00,15.00,0.00,165.00,165.00,210.00
"24660292","0292",20.00,380.00,260.00,15.00,15.00,270.00,365.00,270.00
"24660293","0293",15.00,220.00,355.00,5.00,30.00,180.00,445.00,85.00
"24660294","0294",5.00,175.00,225.00,10.00,20.00,135.00,255.00,150.00
"24660295","0295",25.00,245.00,315.00,20.00,35.00,270.00,360.00,255.00
"24660296","0296",25.00,335.00,355.00,20.00,45.00,245.00,370.00,330.00
"24660297","0297",10.00,130.00,260.00,5.00,55.00,145.00,350.00,90.00
"24660298","0298",10.00,90.00,170.00,5.00,25.00,115.00,220.00,65.00
"24660299","0299",20.00,310.00,435.00,5.00,60.00,260.00,600.00,185.00
"24660300","0300",10.00,275.00,305.00,15.00,35.00,225.00,450.00,150.00
"24660301","0301",25.00,470.00,1015.00,10.00,120.00,660.00,1180.00,295.00
"24660302","0302",40.00,275.00,585.00,15.00,190.00,215.00,630.00,275.00
"24660303","0303",15.00,295.00,270.00,25.00,60.00,130.00,320.00,265.00
"24660304","0304",10.00,190.00,205.00,20.00,25.00,130.00,230.00,195.00
"24660305","0305",10.00,235.00,175.00,20.00,30.00,130.00,230.00,180.00
"24660306","0306",20.00,270.00,295.00,20.00,40.00,235.00,375.00,340.00
"24660307","0307",20.00,240.00,260.00,20.00,20.00,190.00,255.00,230.00
"24660308","0308",15.00,150.00,205.00,15.00,55.00,105.00,180.00,185.00
"24660309","0309",10.00,115.00,335.00,10.00,120.00,110.00,345.00,155.00
"24660310","0310",25.00,230.00,310.00,15.00,55.00,210.00,395.00,215.00
"24660311","0311",30.00,410.00,430.00,35.00,60.00,290.00,405.00,430.00
"24660312","0312",25.00,200.00,290.00,15.00,35.00,190.00,255.00,215.00
"24660313","0313",35.00,315.00,375.00,25.00,80.00,255.00,455.00,300.00
"24660314","0314",15.00,110.00,340.00,10.00,50.00,170.00,305.00,220.00
"24660315","0315",10.00,125.00,245.00,20.00,80.00,90.00,235.00,160.00
"24660316","0316",20.00,230.00,290.00,15.00,50.00,220.00,340.00,210.00
"24660319","0319",15.00,220.00,185.00,15.00,35.00,160.00,225.00,270.00
"24660320","0320",20.00,295.00,235.00,25.00,35.00,140.00,245.00,250.00
"24660321","0321",35.00,325.00,350.00,35.00,40.00,215.00,400.00,325.00
"24660322","0322",10.00,335.00,280.00,25.00,35.00,240.00,295.00,420.00
"24660323","0323",30.00,270.00,310.00,35.00,80.00,190.00,345.00,305.00
"24660324","0324",35.00,230.00,280.00,35.00,25.00,155.00,245.00,250.00
"24660325","0325",15.00,305.00,215.00,5.00,25.00,170.00,215.00,295.00
"24660326","0326",10.00,210.00,140.00,10.00,30.00,100.00,145.00,220.00
"24660327","0327",20.00,280.00,275.00,20.00,35.00,195.00,300.00,300.00
"24660328","0328",25.00,300.00,315.00,25.00,45.00,195.00,315.00,345.00
"24660329","0329",55.00,260.00,150.00,40.00,40.00,140.00,210.00,325.00
"24660330","0330",20.00,360.00,195.00,30.00,35.00,155.00,275.00,340.00
"24660331","0331",20.00,325.00,150.00,20.00,15.00,175.00,305.00,220.00
"24660332","0332",10.00,335.00,125.00,30.00,10.00,195.00,210.00,270.00
"24660333","0333",15.00,280.00,150.00,25.00,0.00,170.00,310.00,240.00
"24660334","0334",30.00,375.00,190.00,40.00,30.00,220.00,405.00,335.00
"24660335","0335",30.00,385.00,210.00,35.00,30.00,180.00,235.00,290.00
"24660336","0336",30.00,360.00,150.00,30.00,0.00,190.00,165.00,285.00
"24660337","0337",45.00,335.00,230.00,20.00,25.00,230.00,240.00,380.00
"24660338","0338",20.00,475.00,320.00,30.00,25.00,320.00,380.00,455.00
"24660339","0339",20.00,365.00,180.00,30.00,10.00,220.00,290.00,275.00
"24660340","0340",15.00,105.00,115.00,30.00,25.00,65.00,110.00,110.00
"24660341","0341",10.00,220.00,150.00,15.00,15.00,135.00,180.00,200.00
"24660342","0342",25.00,315.00,195.00,45.00,25.00,145.00,320.00,255.00
"24660343","0343",45.00,245.00,210.00,35.00,10.00,190.00,220.00,295.00
"24660344","0344",25.00,215.00,205.00,40.00,70.00,180.00,270.00,230.00
"24660345","0345",30.00,335.00,255.00,45.00,45.00,215.00,325.00,380.00
"24660346","0346",30.00,385.00,305.00,40.00,60.00,205.00,265.00,435.00
"24660347","0347",35.00,215.00,195.00,40.00,10.00,170.00,175.00,245.00
"24660348","0348",25.00,160.00,115.00,10.00,10.00,110.00,135.00,140.00
"24660349","0349",30.00,225.00,175.00,55.00,25.00,120.00,205.00,275.00
"24660350","0350",25.00,330.00,205.00,40.00,65.00,225.00,345.00,330.00
"24660351","0351",35.00,245.00,215.00,30.00,25.00,150.00,305.00,215.00
"24660352","0352",35.00,255.00,195.00,35.00,25.00,135.00,245.00,235.00
"24660353","0353",35.00,270.00,205.00,30.00,40.00,120.00,205.00,275.00
"24660354","0354",70.00,260.00,275.00,55.00,60.00,230.00,325.00,350.00
"24660355","0355",35.00,225.00,220.00,60.00,25.00,185.00,235.00,350.00
"24660356","0356",15.00,220.00,190.00,30.00,25.00,140.00,205.00,180.00
"24660357","0357",25.00,230.00,190.00,20.00,25.00,150.00,225.00,240.00
