COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
24662869,2869,498,20,210,255,10,30,105,245,235
24662870,2870,778,35,240,480,25,25,170,515,295
24662871,2871,454,20,160,260,10,20,130,310,155
24662872,2872,414,15,150,240,5,0,110,230,135
24662873,2873,385,20,180,175,10,0,110,165,195
24662874,2874,583,15,290,265,15,0,205,360,245
24662875,2875,411,10,215,180,10,10,135,180,250
24662876,2876,247,5,135,110,0,0,65,135,95
24662877,2877,395,10,170,205,10,0,95,260,140
24662878,2878,418,15,110,280,10,20,65,250,160
24662879,2879,300,25,60,200,15,10,15,135,145
24662880,2880,397,25,100,245,25,0,45,195,130
24662881,2881,448,20,70,335,20,20,45,235,195
24662882,2882,607,15,225,355,10,50,200,425,170
24662883,2883,485,25,150,295,15,15,135,315,165
24662884,2884,736,30,350,350,10,10,155,550,190
24662885,2885,548,15,225,305,5,20,170,290,210
24662886,2886,523,5,250,260,10,0,205,270,150
24662887,2887,490,10,230,240,5,0,195,290,175
24662888,2888,695,25,325,335,15,30,195,440,190
24662889,2889,607,20,175,400,10,35,190,330,260
24662890,2890,501,15,210,265,10,10,120,310,190
24662891,2891,542,20,180,330,15,30,170,335,215
24662892,2892,586,35,110,425,15,30,65,450,220
24662893,2893,567,15,255,290,10,10,185,345,215
24662894,2894,528,20,230,270,10,15,145,285,180
24662895,2895,640,15,265,355,5,30,260,380,200
24662896,2896,554,10,295,240,5,40,190,280,245
24662897,2897,1389,50,460,845,30,55,270,925,455
24662898,2898,467,15,220,205,25,0,215,230,300
24662899,2899,524,10,255,250,5,40,115,360,170
24662900,2900,534,15,240,270,15,30,120,280,195
24662901,2901,515,25,115,370,5,45,95,385,140
24662902,2902,627,20,265,340,5,20,190,395,200
24662903,2903,650,25,200,390,40,50,145,405,295
24662904,2904,688,50,160,465,10,55,80,415,195
24662905,2905,773,10,425,300,5,10,425,660,140
24662906,2906,835,10,295,450,5,0,285,630,175
24662907,2907,586,15,255,310,5,0,200,400,170
24662908,2908,477,5,275,185,5,10,170,235,195
24662909,2909,5132,80,2015,2510,70,105,1630,3010,1540
24662910,2910,602,20,340,235,10,10,240,335,225
24662911,2911,611,0,360,245,10,0,230,510,105
24662912,2912,458,5,275,180,0,0,220,415,100
24662913,2913,347,0,200,135,5,0,200,345,40
24662914,2914,558,5,285,255,5,0,245,450,60
24662915,2915,459,0,310,145,0,0,165,360,80
24662916,2916,710,10,390,305,5,15,260,560,100
24662917,2917,492,5,260,185,0,0,220,295,130
24662918,2918,629,10,370,245,5,0,235,530,80
24662919,2919,445,0,220,220,5,0,135,315,65
24662920,2920,433,0,280,140,5,0,175,370,40
24662921,2921,597,0,370,220,5,0,210,365,80
24662922,2922,589,5,360,210,10,0,270,475,130
24662923,2923,419,0,220,185,0,0,170,340,55
24662924,2924,411,15,225,160,5,0,220,275,140
24662925,2925,553,5,335,200,15,0,210,440,125
24662926,2926,545,10,315,210,5,0,265,465,85
24662927,2927,384,0,235,145,0,0,165,325,55
24662928,2928,501,0,285,205,10,0,155,415,60
24662929,2929,415,0,270,140,5,10,170,365,50
24662930,2930,471,0,250,215,5,10,210,415,125
24662931,2931,472,5,275,185,0,0,185,375,110
24662932,2932,563,10,335,210,5,0,150,475,95
24662933,2933,457,5,235,220,0,0,220,350,95
24662934,2934,508,5,315,190,0,0,190,420,70
24662935,2935,703,0,395,265,5,0,260,585,165
24662936,2936,2215,80,680,1445,15,95,660,1695,440
24662937,2937,611,15,245,340,10,10,190,485,85
24662938,2938,431,5,200,200,5,15,145,290,80
24662939,2939,1888,55,455,1360,15,120,590,1330,560
24662940,2940,709,25,260,415,10,30,265,560,220
24662941,2941,476,15,155,305,5,0,170,325,130
24662942,2942,1469,25,290,570,20,40,235,600,275
24662943,2943,1321,90,355,875,10,80,255,1085,230
24662944,2944,482,15,160,300,10,30,155,325,120
24662945,2945,513,15,135,350,5,35,150,305,235
24662946,2946,961,55,255,645,10,35,275,730,245
24662947,2947,850,30,375,435,5,45,295,635,210
24662948,2948,1649,5,820,815,5,20,725,1315,315
24662949,2949,756,5,385,360,5,0,335,600,160
24662951,2951,632,5,305,325,0,0,285,560,125
24662952,2952,527,5,285,225,10,0,215,500,80
24662953,2953,406,0,200,200,5,0,145,330,100
